five_digit_FIPS_code,Total People with Insurance
17071,6866
17109,31242
17111,306816
17113,172081
17139,14407
17145,18847
17149,15409
17151,4178
17161,143569
17163,258591
17173,21713
17185,11491
17019,205992
17013,4818
17035,10773
17053,13062
17085,21888
17089,526131
17093,122623
17101,14017
17009,4809
17121,37607
17123,11660
17125,13698
17075,28018
17021,31656
17025,13227
17059,5226
17077,58476
17133,33471
17143,183888
17181,17116
17201,284338
17147,16386
17153,5685
17169,7103
17175,5451
17045,17320
17005,15779
17007,53247
17011,33253
17015,14535
17029,51845
17033,17334
17083,21860
17155,5763
17039,15900
17051,20167
17103,31602
17107,25981
17117,45434
17159,15750
17165,23957
17189,14052
17135,25244
17195,55940
17001,65509
17027,35491
17037,103721
17047,6538
17079,9547
17081,35819
17183,76608
17197,680356
17199,65458
17023,15699
17041,19665
17049,33765
17057,33129
17061,13022
17065,8179
17069,4080
17073,48907
17087,10612
17095,48604
17097,689014
17105,34348
17127,14363
17171,5059
17179,132156
17017,12727
17187,17230
18105,143445
18045,16430
18039,200465
18149,22955
18025,10532
18017,37521
18055,32132
18097,929787
18177,65748
18053,66755
17099,108005
18021,25958
18063,155413
18037,41577
18047,22750
18059,72176
18071,43125
18067,81532
18115,5860
18119,20801
18121,15620
18135,24840
18183,33097
18007,8599
18013,14875
18023,31850
18133,34443
18161,7168
18175,27533
18027,32308
18029,49016
18065,45400
18083,36959
18093,45029
18095,124831
18123,17575
18125,12250
18131,12636
18129,25357
18151,34207
18171,8182
18165,15437
18179,27221
18043,75442
18003,364079
18031,26154
18035,114544
18103,33829
18077,30590
18079,27599
18081,147386
18109,68698
18051,33011
18111,13840
18117,19371
18141,266134
18085,78008
18099,46257
18155,10514
18163,179469
18009,12054
18015,19882
18143,23334
18061,39182
18069,36082
18091,102536
18169,30840
18181,23989
18073,33093
18075,20901
18101,10015
18127,165816
18145,43651
18137,27900
18147,20394
18153,18838
18159,15107
18157,184375
18167,103558
18173,60870
18057,308195
18033,42171
18087,38548
18005,80159
18139,16580
18011,62385
18049,20081
18089,485186
18107,37742
18113,46634
18001,34582
18019,113268
18041,23090
19055,17160
19101,17790
19185,6303
19005,13625
19113,218065
19163,169756
19049,80343
19141,13733
19011,25398
19023,14554
19061,95282
19071,6865
19079,15004
19151,6815
19173,6115
19175,12359
19177,7249
19195,7398
19159,4785
19003,3716
19001,7051
19009,5566
19037,12004
19039,9126
19051,8723
19059,16817
19093,6838
19103,142813
19107,10102
19135,7779
19171,16862
19179,34971
19167,34293
19069,10178
19025,9051
19027,20072
19031,18134
19033,42521
19067,15687
19073,8932
19083,16685
19115,11103
19117,8464
19119,11575
19189,10321
19147,8906
19165,11554
19007,12431
19087,18717
19095,15965
19099,35189
19145,14386
19191,20313
19157,18132
19155,92190
19127,39585
19043,17483
19015,25813
19017,24407
19021,20099
19089,9136
19063,9396
19077,10542
19081,10814
19091,9475
19121,15538
19125,32880
19183,21773
19197,12684
19029,13069
19035,11215
19047,16939
19057,39381
19065,19797
19085,13948
19109,14920
19129,14731
19133,8635
19139,42422
19143,6054
19153,462472
19187,35229
19169,95168
19193,101406
19013,131715
19075,12198
19097,19216
19105,19294
19111,33849
19131,10448
19137,10042
19181,48032
19161,9750
19123,22072
19149,24731
19019,20844
19041,16136
19045,47116
19053,7996
20183,3631
20067,7645
20085,13185
20095,7445
20109,2749
20021,20287
20131,9824
20149,22632
20209,161957
20015,63864
20027,7944
20105,3055
20169,54446
20191,22853
20195,2819
20197,6820
20205,8727
20207,3169
20123,6079
20135,2950
20141,3583
20005,16289
20011,14482
20055,36868
20075,2621
20097,2454
20103,72021
20177,175061
20181,5902
20187,2079
20193,7734
20119,4171
20125,32940
20127,5525
20151,9440
20153,2481
20163,4949
20003,7734
20025,2031
20053,5440
20061,29856
20077,5595
20057,34157
20167,6867
20111,32903
20117,9699
20145,5699
20001,12546
20023,2642
20033,1663
20035,34525
20049,2541
20063,2584
20059,25420
20079,34049
20083,1840
20089,2932
20093,3868
